id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(L) #post,bL(L) #pre,#voxels
1388697482,,,,Traced,131,60,131,60,28209596
1388697488,,,,Traced,167,74,164,73,45862585
1388697542,,,,Traced,156,63,155,63,30324350
1388701856,,,,Traced,198,67,198,67,44020976
1388706333,,,,Traced,153,72,150,69,36922988
1388706548,,,,Traced,560,52,554,51,75136692
1389029776,,,,Traced,944,82,943,82,107990582
1389029803,,,,Traced,129,58,129,58,33921835
1389029807,,,,Traced,143,70,140,69,31622005
1389029818,,,,Traced,126,51,126,51,29143055
1389029837,,,,Traced,136,59,135,58,41342448
1389029869,,,,Traced,109,50,109,50,28951673
1389029889,,,,Traced,166,65,166,65,33041213
1389029913,,,,Traced,118,53,118,53,28020270
1389033843,,,,Traced,175,66,175,66,35013079
1389033933,,,,Traced,97,56,97,55,27355393
1389033965,,,,Traced,125,54,125,54,30854979
1389034056,,,,Traced,159,59,159,59,34562039
1389034067,,,,Traced,157,60,157,60,31751481
1389034073,,,,Traced,164,68,164,68,41761597
1389034086,,,,Traced,1450,155,1424,155,172422349
1389034092,,,,Traced,114,71,112,69,31962972
1389034133,,,,Traced,142,74,142,74,31039667
1389034150,,,,Traced,147,70,147,70,32053103
1389034180,,,,Traced,161,66,161,66,30713528
1389034189,,,,Traced,145,59,145,59,37304678
1389034207,,,,Traced,162,65,162,65,32671946
1389034224,,,,Traced,134,54,132,53,31749471
1389038306,,,,Traced,112,63,112,63,29640216
1389038314,,,,Traced,168,65,168,65,35855869
1389038329,,,,Traced,148,60,148,60,30126627
1389038375,,,,Traced,135,64,133,64,34847251
1389038376,,,,Traced,105,64,101,62,28246893
1389038377,,,,Traced,131,60,130,59,30106174
1389038449,,,,Traced,147,73,147,71,38303914
1389038482,,,,Traced,117,59,117,59,28818794
1389042768,,,,Traced,126,70,125,70,33406020
1389046909,,,,Assign,3,2,3,2,1128117
1389370821,,,,Traced,127,63,127,63,34621252
1389370826,,,,Traced,116,53,116,53,26296062
1389370832,,,,Traced,105,60,102,59,27836434
1389370841,,,,Traced,134,63,134,63,29422669
1389370878,,,,Traced,291,136,291,136,67424492
1389370882,,,,Traced,131,69,131,69,39080654
1389370904,,,,Traced,145,60,145,59,31502434
1389370909,,,,Traced,149,67,149,67,35431624
1389370910,,,,Traced,126,44,126,44,23367956
1389370914,,,,Traced,85,42,85,42,21332235
1389370919,,,,Traced,141,65,141,65,31008832
1389370921,,,,Traced,134,77,134,76,33772345
1389370945,,,,Traced,143,80,142,80,45647097
1389370949,,,,Traced,160,71,158,70,37296522
1389370951,,,,Traced,171,81,171,81,39094360
1389371017,,,,Traced,115,60,114,60,30605515
1389371030,,,,Traced,153,59,153,59,33846692
1389375168,,,,Traced,158,66,158,66,29548461
1389375222,,,,Traced,180,68,180,68,40927438
1389375226,,,,Traced,118,52,118,52,25012564
1389375250,,,,Traced,134,56,134,56,28619623
1389375284,,,,Traced,124,61,124,61,34019929
1389379556,,,,Traced,148,72,148,72,35466545
1389379575,,,,Traced,114,46,114,46,20214505
1389379623,,,,Traced,135,63,135,63,29917949
1389383632,,,,Traced,220,73,198,66,46734846
1389383830,,,,Traced,117,51,115,50,30645731
1389383833,,,,Traced,150,63,150,63,31530712
1389383884,,,,Traced,142,77,142,77,39831185
1389383922,,,,Traced,116,44,115,44,26977187
