id,instance,notes,type,status,inputs (#post),outputs (#pre),FB #post,FB #pre,#voxels
885939366,FB9C_a_L,SLPFB9_2,FB9C_a,Traced,217,93,211,89,152937891
885939885,FB9B_d_L,SLPFB9_2,FB9B_d,Traced,141,78,136,76,181762417
885939922,FB1J_L,SLPSIPFB178,FB1J,Traced,1145,272,1075,264,493818064
885940052,FB8H_L,SMPSLPFB8,FB8H,Traced,443,247,264,236,452531833
885940095,FB8H_R,SMPSLPFB8,FB8H,Traced,912,308,265,306,825191972
885943588,vDeltaA_a(AB)_C7,AF,vDeltaA_a,Traced,361,74,261,61,157470362
885943890,FB9B_b_L,SLPFB9_2,FB9B_b,Traced,203,52,199,52,132603442
885943925,FB9A_L,SLPFB9_1,FB9A,Traced,169,72,160,69,232812174
885943948,vDeltaA_a_C5,AF,vDeltaA_a,Traced,223,68,218,67,151646861
885944105,FB9B_d_R,SLPFB9_2,FB9B_d,Traced,158,81,122,80,295432503
885944205,vDeltaA_a(AB)_C5,AF,vDeltaA_a,Traced,318,73,190,66,176269848
885944508,SAF(FB9)_L,SlpAF,SAF,Traced,273,97,98,33,239756726
885948438,vDeltaA_a(AB)_C6,AF,vDeltaA_a,Traced,269,71,220,68,181655482
886276864,hDeltaD_05_C3,FB18D3FB8,hDeltaD,Traced,3170,382,3161,382,913102724
886280235,FB9B_d_R,SLPFB9_2,FB9B_d,Traced,217,80,140,74,326463936
886280332,FB9B_d_L,SLPFB9_2,FB9B_d,Traced,132,79,128,79,149805460
886280488,FB9B_a_R,SLPFB9_2,FB9B_a,Traced,162,66,103,59,242222894
886280616,FB9B_b_R,SLPFB9_2,FB9B_b,Traced,344,68,183,61,284478916
886280641,FB9B_a_R,SLPFB9_2,FB9B_a,Traced,176,78,124,75,267192894
886280796,hDeltaF_14_C6,FB16d7D2FB67,hDeltaF,Traced,2936,388,2934,388,720373872
886280843,vDeltaA_a(AB)_C6,AF,vDeltaA_a,Traced,485,93,336,78,217478304
886281051,SAF(FB9)_L,SlpAF,SAF,Traced,468,138,374,102,281089513
886281163,hDeltaD_14_C8,FB18D3FB8,hDeltaD,Traced,2150,354,2106,352,736377876
886284719,FB9B_a_L,SLPFB9_2,FB9B_a,Traced,105,61,101,58,118610078
886284941,FB9B_c_L,SLPFB9_2,FB9B_c,Traced,76,37,74,37,86568980
886285039,FB9B_a_L,SLPFB9_2,FB9B_a,Traced,111,74,104,72,104407349
886285243,vDeltaA_a_C5,AF,vDeltaA_a,Traced,277,78,276,78,172963770
886285443,FB9B_b(?)_L,SLPFB9_2,FB9B_b,Traced,261,78,250,70,142560006
886289222,vDeltaA_a_C5,AF,vDeltaA_a,Traced,302,80,296,80,173585111
886621686,FB9B_e_L,SLPFB9_2,FB9B_e,Traced,46,33,41,28,72719566
886621751,FB9B_e_L,SLPFB9_2,FB9B_e,Traced,65,52,60,43,87771792
886622166,vDeltaA_a(AB)_C6,AF,vDeltaA_a,Traced,288,70,221,68,224976564
886626370,FB9B_c_R,SLPFB9_2,FB9B_c,Traced,214,40,95,40,204468315
886630936,,,,Orphan,9,4,9,4,3891261
886635309,FB9A_L,SLPFB9_1,FB9A,Traced,270,88,250,86,144532919
886963259,FB9B_c_L,SLPFB9_2,FB9B_c,Traced,50,35,45,34,73290434
