id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(L) #post,a'L(L) #pre,aL(L) #post,aL(L) #pre,#voxels
5812981584,,,,Traced,111,53,103,49,6,4,39883237
5812981585,,,,Traced,75,38,65,33,6,1,39740742
5812981595,,,,Traced,91,37,87,34,,1,31885294
5812981810,,,,Traced,245,47,100,,1,1,106451023
5812981832,,,,Traced,66,36,61,34,5,2,28774162
5812981833,,,,Traced,65,38,59,33,4,4,30416057
5812982356,,,,Traced,46,24,39,20,,1,22614216
5813019513,PPL105(a'2a2)_R,,PPL105,Traced,7639,1726,82,32,565,115,2064191600
5813019607,PPL106(a3)(PDL05)_L,,PPL106,Traced,6476,1564,3,4,2070,464,1814973075
5813019976,PPL104(a'3)(PDL05)_L,,PPL104,Traced,2138,770,30,15,3,1,869209965
5813032815,,,,Traced,107,39,104,36,3,3,34518245
5813046995,,,,Traced,79,27,4,1,75,26,17456637
5813056349,,,,Traced,36,17,29,16,4,1,16227147
5813061512,MBON06(B1>a)_R,,MBON06,Traced,12107,496,16,12,289,106,2038784377
5813077591,,,,Traced,64,35,44,25,12,4,31865849
5901199769,,,,Traced,56,18,8,3,47,15,15795518
