id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(R) #post,gL(R) #pre,#voxels
661421129,KCg-m_R,,KCg-m,Traced,829,244,465,195,261193623
661430106,KCg-m_R,,KCg-m,Traced,853,271,534,228,381271323
661430179,KCg-m_R,,KCg-m,Traced,759,270,490,230,351291835
661740651,KCg-m_R,,KCg-m,Traced,794,248,509,209,359162796
661757811,KCg-m_R,,KCg-m,Traced,744,237,424,187,346209879
661766416,KCg-m_R,,KCg-m,Traced,780,247,505,203,257133711
662081640,KCg-m_R,,KCg-m,Traced,741,212,428,182,364193321
662081902,KCg-m_R,,KCg-m,Traced,826,254,519,212,277067482
662085486,KCg-m_R,,KCg-m,Traced,762,232,439,204,337529963
662094168,KCg-m_R,,KCg-m,Traced,875,263,512,210,369242983
662107551,KCg-m_R,,KCg-m,Traced,747,238,443,185,322816525
662107593,KCg-m_R,,KCg-m,Traced,711,230,408,178,350342970
662409582,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,626,255,11,4,426186749
662418320,KCg-m_R,,KCg-m,Traced,743,240,453,209,303243398
662452625,KCg-m_R,,KCg-m,Traced,855,287,537,221,420547401
662461539,KCg-m_R,,KCg-m,Traced,793,285,437,200,406055113
662754991,KCg-m_R,,KCg-m,Traced,688,255,468,214,243726950
662763626,KCg-m_R,,KCg-m,Traced,893,275,565,222,275895014
662763904,KCg-m_R,,KCg-m,Traced,704,228,465,191,244018460
662767770,KCg-m_R,,KCg-m,Traced,741,218,454,195,321973621
662772393,KCg-m_R,,KCg-m,Traced,894,279,547,229,387191151
662802782,KCg-m_R,,KCg-m,Traced,821,234,510,192,343032811
662806818,KCg-m_R,,KCg-m,Traced,836,259,497,198,289957990
663091787,KCg-m_R,,KCg-m,Traced,660,225,418,190,342227087
663130304,KCg-d_R,,KCg-d,Traced,622,221,430,196,355506423
663134970,KCg-m_R,,KCg-m,Traced,784,259,468,196,392525010
663493162,KCg-m_R,,KCg-m,Traced,830,279,449,216,424202055
663834152,KCg-m_R,,KCg-m,Traced,751,239,433,194,328819897
664141134,KCg-m_R,,KCg-m,Traced,792,266,493,223,394373813
664184060,KCg-m_R,,KCg-m,Traced,631,198,394,156,322443701
664187932,KCg-m_R,,KCg-m,Traced,736,241,436,192,333991385
664188056,KCg-m_R,,KCg-m,Traced,736,226,479,184,315865291
664188083,KCg-m_R,,KCg-m,Traced,665,230,401,183,335895826
664188108,KCg-m_R,,KCg-m,Traced,655,206,397,175,297456011
664188129,KCg-m_R,,KCg-m,Traced,706,231,430,186,226388942
664188211,KCg-m_R,,KCg-m,Traced,736,233,410,183,362375734
664511977,KCg-d_R,,KCg-d,Traced,1251,454,864,403,629975750
667266529,CRE108(SCB032)_R,,CRE108,Traced,2538,839,27,11,2527313023
667857582,LHPV7c1_R,,LHPV7c1,Traced,2339,1062,185,36,2219154543
668967527,CRE040_R,CL-Sm(c),CRE040,Traced,14008,1750,41,1,5225476639
673776769,SMP156_R,,SMP156,Traced,5988,578,101,7,2068609640
674393414,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,650,238,8,5,436340617
674519060,PAM01_a(y5)_L,,PAM01_a,Traced,766,148,246,52,214397229
674738872,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,596,264,9,8,452846628
674807824,CRE029_a_L,,CRE029_a,Traced,1445,320,5,2,836699232
675144948,CRE031_L,,CRE031,Traced,654,198,10,2,598509417
675187509,CRE033_R,,CRE033,Traced,698,177,3,16,611705625
675187572,CRE030_a_R,,CRE030_a,Traced,642,213,8,1,668621996
675187643,CRE030_b_R,,CRE030_b,Traced,784,235,29,4,739581338
