id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(L) #post,b'L(L) #pre,#voxels
205985855,,,,Traced,1406,139,45,1,575419822
268731005,SMP146(ADM10)_L,,SMP146,Traced,3566,962,4,1,1973521252
298595394,PAM10(B1)_R,,PAM10,Traced,2304,411,3,2,684295892
299082033,LHPV5e1(PDL05)_L,,LHPV5e1,Traced,4201,1313,169,3,1486830838
299289811,SMP146_R,,SMP146,Traced,5080,1011,30,36,2562854346
299613480,PAM09(B1ped)_R,,PAM09,Traced,1853,338,7,3,549779297
328253133,PAM10(B1)_R,,PAM10,Traced,2251,433,6,3,610336226
328546871,PAM10(B1)_R,,PAM10,Traced,2576,500,3,5,766273281
328611004,LHPV5e1_R,,LHPV5e1,Traced,10796,1573,3,1,2647663694
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,19,14,6917059458
359586213,PAM09(B1ped)_R,,PAM09,Traced,920,206,10,3,434301483
359598627,PAM10(B1)_R,,PAM10,Traced,2328,465,5,2,746539922
360941147,PAM09(B1ped)_R,,PAM09,Traced,806,187,8,1,377339671
393404592,SMP127_R,,SMP127,Traced,2570,648,34,23,1245001681
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,29,38,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,604,2,4356555624
425276848,DPM_L,,DPM,Traced,30007,7088,6728,1648,6483095365
425790257,APL_R,,APL,Traced,127151,16190,677,145,23360457066
453380528,PAM04_b(B2)_R,,PAM04_b,Traced,593,118,4,1,226850098
454252960,PAM10(B1)_L,,PAM10,Traced,1042,269,18,1,348888419
455431209,PAM10(B1)_R,,PAM10,Traced,2567,522,13,7,846161332
456846996,PAM11(a1)_R,,PAM11,Traced,529,165,38,27,371345136
482762280,PAM11(a1)_R,,PAM11,Traced,1199,235,4,2,555872978
484130600,SMP145_R,,SMP145,Traced,3609,2264,2,1,2489431605
484735678,PAM04_a(B2)_R,,PAM04_a,Traced,867,142,12,3,279368748
485585976,SMP177(PDL05)_L,,SMP177,Traced,7757,1966,12,8,2422546196
487187476,SIP087_R,,SIP087,Traced,10957,3440,2,2,4036468535
487925037,MBON03(B'2mp)_R,,MBON03,Traced,18706,1368,16106,129,3979007410
487925063,MBON04(B'2mp_bilateral)_R,,MBON04,Traced,16859,1776,7340,7,3269688224
488322846,SMP128_L,,SMP128,Traced,310,261,10,14,319243147
489051772,,,,Traced,52,32,8,7,25148698
489051866,,,,Traced,71,40,7,2,32974410
512765910,PAM11(a1)_R,,PAM11,Traced,929,194,17,2,521006485
513451621,PAM11(a1)_R,,PAM11,Traced,673,180,16,5,428816755
517207902,PAM05(B'2p)_R,,PAM05,Traced,1380,352,257,109,459070784
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,40,71,1964048244
520380132,SMP127_L,,SMP127,Traced,508,457,30,19,478509017
548549000,KCa'b'-m_R,,KCa'b'-m,Traced,596,209,36,12,387116321
548553494,KCa'b'-m_R,,KCa'b'-m,Traced,625,234,61,25,437355377
549610772,PAM05(B'2p)_R,,PAM05,Traced,1427,327,293,100,423011775
