id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(R) #post,aL(R) #pre,bL(R) #post,bL(R) #pre,#voxels
692110379,KCab-s_R,,KCab-s,Traced,544,241,203,120,184,85,289839608
692792746,KCab-c_R,,KCab-c,Traced,353,130,138,59,96,43,110664922
693099064,KCab-m_R,,KCab-m,Traced,555,203,216,87,144,61,278756428
693116396,KCab-c_R,,KCab-c,Traced,356,136,129,53,121,44,135231484
693159855,KCab-s_R,,KCab-s,Traced,616,237,268,119,143,74,311554190
693448777,KCab-c_R,,KCab-c,Traced,426,170,157,67,104,44,138825179
693453332,KCab-c_R,,KCab-c,Traced,516,175,175,78,121,47,154314021
693785633,KCab-m_R,,KCab-m,Traced,485,174,172,72,139,55,283142475
693841929,KCab-s_R,,KCab-s,Traced,560,225,206,99,169,76,291182881
704409534,KCab-p_R,,KCab-p,Traced,685,243,204,82,284,94,354049999
704409742,KCab-s_R,,KCab-s,Traced,633,241,216,110,177,91,292719846
704742082,KCa'b'-m_R,,KCa'b'-m,Traced,637,239,13,6,12,3,354105707
704746449,KCab-p_R,,KCab-p,Traced,697,254,257,98,240,78,395383220
704746457,KCab-p_R,,KCab-p,Traced,741,247,209,77,246,79,389043123
704750475,KCab-s_R,,KCab-s,Traced,559,203,197,87,162,65,274622253
704750665,KCab-m_R,,KCab-m,Traced,575,223,211,97,163,76,267096952
704750673,KCab-m_R,,KCab-m,Traced,573,197,199,82,139,65,274644474
704750742,KCab-s_R,,KCab-s,Traced,637,230,267,102,158,79,290169163
704750766,KCab-m_R,,KCab-m,Traced,671,223,230,97,192,73,351254023
704750842,KCab-m_R,,KCab-m,Traced,517,203,260,105,105,57,165744235
705091521,KCab-m_R,,KCab-m,Traced,579,176,224,90,163,49,179281415
705091769,KCab-c_R,,KCab-c,Traced,388,161,165,69,110,45,229455390
705091939,KCab-c_R,,KCab-c,Traced,384,163,183,78,123,53,111361059
705432638,KCab-s_R,,KCab-s,Traced,538,223,220,107,157,76,286953527
705432922,KCab-m_R,,KCab-m,Traced,553,208,201,92,144,65,296456968
705774051,KCab-s_R,,KCab-s,Traced,583,235,219,110,160,79,304350466
723853340,KCab-s_R,,KCab-s,Traced,606,238,248,121,197,81,331658050
724134138,KCab-m_R,,KCab-m,Traced,519,197,237,99,118,51,173701117
725174424,KCab-m_R,,KCab-m,Traced,475,167,183,74,122,50,139095623
733036127,MBON07(a1)_R,,MBON07,Traced,15519,474,14600,14,538,1,1520161953
735282133,PAM09(B1ped)_L,,PAM09,Traced,832,224,144,36,291,108,357006298
735785459,KCab-m_R,,KCab-m,Traced,522,191,221,82,135,51,229128726
735785541,KCab-s_R,,KCab-s,Traced,591,239,209,108,164,79,296551172
735785583,KCab-s_R,,KCab-s,Traced,583,227,246,115,139,60,318806364
735785639,KCab-c_R,,KCab-c,Traced,508,171,216,82,124,51,242191766
735785741,KCab-s_R,,KCab-s,Traced,608,219,211,96,175,72,312911020
735790008,KCab-s_R,,KCab-s,Traced,619,256,224,118,154,79,344825613
736122569,KCab-m_R,,KCab-m,Traced,511,179,217,79,133,55,250126948
736126563,KCab-c_R,,KCab-c,Traced,444,174,140,77,119,47,167051337
736126644,KCab-c_R,,KCab-c,Traced,480,182,159,76,120,57,253167440
736126668,KCab-c_R,,KCab-c,Traced,495,172,154,69,141,55,163311272
736126717,KCab-c_R,,KCab-c,Traced,446,168,184,69,112,48,226777761
736126732,KCab-m_R,,KCab-m,Traced,459,158,157,67,121,46,268030266
736126746,KCab-m_R,,KCab-m,Traced,574,213,246,100,133,62,257357057
736463614,KCab-m_R,,KCab-m,Traced,552,189,215,89,138,59,267655111
736467526,KCab-m_R,,KCab-m,Traced,552,215,225,92,142,64,302308178
736467640,KCab-m_R,,KCab-m,Traced,573,191,220,88,158,54,247670505
736808904,KCab-s_R,,KCab-s,Traced,653,231,266,107,152,79,330060369
736813212,KCab-s_R,,KCab-s,Traced,582,245,213,106,166,92,315312530
753489735,KCab-c_R,,KCab-c,Traced,388,149,155,57,102,39,229273118
753489892,KCab-c_R,,KCab-c,Traced,407,152,134,62,132,56,236999365
753489951,KCab-c_R,,KCab-c,Traced,530,166,158,61,121,40,242431574
